
[1mTotal memory size:[0m 24000 B, 23 KiB, 0 MiB

[1m Step    Time, s Interact/s  GFLOP/s  delta x  delta y  delta z[0m
    0  2.431e-03  4.114e+08      7.0 4.4283 4.54538 4.60013 (warm up)
    1  2.369e-03  4.221e+08      7.2 4.28588 4.37784 4.44863 (warm up)
    2  2.337e-03  4.279e+08      7.3 3.86213 3.93125 4.01186 (warm up)
    3  2.369e-03  4.221e+08      7.2 3.45797 3.5175 3.59372 
    4  2.371e-03  4.218e+08      7.2 3.0631 3.11547 3.18429 
    5  2.340e-03  4.274e+08      7.3 2.67337 2.71929 2.7797 
    6  2.360e-03  4.237e+08      7.2 2.28708 2.32641 2.37842 
    7  2.338e-03  4.277e+08      7.3 1.9029 1.93579 1.9793 
    8  2.365e-03  4.228e+08      7.2 1.52029 1.54677 1.58171 
    9  2.339e-03  4.276e+08      7.3 1.13883 1.15891 1.18526 
   10  2.352e-03  4.252e+08      7.2 0.758271 0.771969 0.78967 
   11  2.364e-03  4.230e+08      7.2 0.378474 0.385744 0.394519 
   12  2.338e-03  4.277e+08      7.3 0.00364122 0.00261561 0.0030693 
-----------------------------------------------------
[1mAverage performance:      [42m       7.2 +- 0.0 GFLOP/s[0m
-----------------------------------------------------
Average delta:	1.75114
-----------------------------------------------------
