
[1mTotal memory size:[0m 24000 B, 23 KiB, 0 MiB

[1m Step    Time, s Interact/s  GFLOP/s  Delta x  Delta y  Delta z[0m
    0  5.004e-03  1.998e+08      3.4 4.45306 4.57527 4.62745 (warm up)
    1  5.513e-03  1.814e+08      3.1 4.43443 4.55688 4.6101 (warm up)
    2  4.599e-03  2.174e+08      3.7 4.40083 4.52531 4.5805 (warm up)
    3  4.686e-03  2.134e+08      3.6 4.38122 4.49966 4.55333 
    4  5.573e-03  1.794e+08      3.1 4.37594 4.4825 4.53071 
    5  4.563e-03  2.192e+08      3.7 4.38129 4.47151 4.511 
    6  4.568e-03  2.189e+08      3.7 4.39538 4.46533 4.49531 
    7  5.258e-03  1.902e+08      3.2 4.41735 4.46424 4.48358 
    8  4.815e-03  2.077e+08      3.5 4.44322 4.46565 4.47853 
    9  4.661e-03  2.146e+08      3.6 4.47517 4.47229 4.4772 
   10  5.234e-03  1.911e+08      3.3 4.50984 4.48204 4.47937 
   11  5.005e-03  1.998e+08      3.4 4.54916 4.49245 4.48456 
   12  4.611e-03  2.169e+08      3.7 4.59149 4.50105 4.49279 
-----------------------------------------------------
[1mAverage performance:      [42m       3.5 +- 0.2 GFLOP/s[0m
-----------------------------------------------------
Average delta:	4.47677
-----------------------------------------------------
