
[1mTotal memory size:[0m 24000 B, 23 KiB, 0 MiB

[1m Step    Time, s Interact/s  GFLOP/s  Delta x  Delta y  Delta z[0m
    0  1.568e-02  6.378e+07      1.1 4.45306 4.57527 4.62745 (warm up)
    1  1.565e-02  6.388e+07      1.1 4.43443 4.55688 4.6101 (warm up)
    2  1.562e-02  6.403e+07      1.1 4.40083 4.52531 4.5805 (warm up)
    3  1.565e-02  6.391e+07      1.1 4.38122 4.49966 4.55333 
    4  1.581e-02  6.326e+07      1.1 4.37594 4.4825 4.53071 
    5  1.565e-02  6.388e+07      1.1 4.38129 4.47151 4.511 
    6  1.559e-02  6.414e+07      1.1 4.39538 4.46533 4.49531 
    7  1.560e-02  6.409e+07      1.1 4.41735 4.46424 4.48358 
    8  1.564e-02  6.393e+07      1.1 4.44322 4.46565 4.47853 
    9  1.567e-02  6.380e+07      1.1 4.47517 4.47229 4.4772 
   10  1.557e-02  6.422e+07      1.1 4.50984 4.48204 4.47937 
   11  1.555e-02  6.431e+07      1.1 4.54916 4.49245 4.48456 
   12  1.571e-02  6.365e+07      1.1 4.59149 4.50105 4.49279 
-----------------------------------------------------
[1mAverage performance:      [42m       1.1 +- 0.0 GFLOP/s[0m
-----------------------------------------------------
Average delta:	4.47677
-----------------------------------------------------
